Cause_of_death,Age,Subjects_gender,Region,Subjects_race
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,European-American/White
Others,25-33,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Northeast,European-American/White
Vehicle,44-107,Male,Southeast,African-American/Black
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,0-24,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Others,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,44-107,Male,West,Hispanic/Latino
Others,25-33,Male,West,European-American/White
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,34-43,Male,West,African-American/Black
Gunshot,34-43,Male,West,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Vehicle,25-33,Female,West,European-American/White
Gunshot,44-107,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,Asian/Pacific Islander
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Female,Southeast,African-American/Black
Gunshot,44-107,Male,Midwest,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Vehicle,34-43,Male,West,Hispanic/Latino
Vehicle,25-33,Male,Southeast,African-American/Black
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,Hispanic/Latino
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,0-24,Male,West,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,European-American/White
Others,0-24,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,34-43,Male,Midwest,African-American/Black
Vehicle,44-107,Male,West,European-American/White
Vehicle,25-33,Male,Northeast,Hispanic/Latino
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,44-107,Male,Northeast,European-American/White
Vehicle,44-107,Male,Northeast,Hispanic/Latino
Gunshot,25-33,Male,West,African-American/Black
Others,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Others,0-24,Male,Southwest,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Vehicle,0-24,Female,Southeast,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Vehicle,44-107,Male,Southeast,African-American/Black
Gunshot,25-33,Female,Southeast,African-American/Black
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,34-43,Male,West,European-American/White
Vehicle,0-24,Male,Northeast,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,West,Hispanic/Latino
Gunshot,0-24,Male,Midwest,African-American/Black
Vehicle,34-43,Female,Southeast,African-American/Black
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,0-24,Male,West,European-American/White
Gunshot,0-24,Male,West,European-American/White
Gunshot,44-107,Male,Southwest,Hispanic/Latino
Gunshot,34-43,Male,West,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,34-43,Male,Southwest,European-American/White
Others,25-33,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Southwest,Hispanic/Latino
Vehicle,0-24,Male,Southeast,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Others,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,West,European-American/White
Gunshot,34-43,Male,Southwest,Hispanic/Latino
Vehicle,25-33,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southeast,European-American/White
Gunshot,0-24,Male,West,European-American/White
Gunshot,34-43,Male,Southwest,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Vehicle,0-24,Female,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,34-43,Male,Southeast,African-American/Black
Others,34-43,Male,Northeast,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Gunshot,0-24,Male,Midwest,European-American/White
Vehicle,25-33,Male,West,African-American/Black
Vehicle,0-24,Female,West,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Vehicle,0-24,Male,Southwest,European-American/White
Vehicle,0-24,Female,Southwest,European-American/White
Others,44-107,Male,Midwest,European-American/White
Vehicle,0-24,Male,West,European-American/White
Vehicle,0-24,Female,Midwest,African-American/Black
Others,25-33,Male,Midwest,European-American/White
Vehicle,25-33,Male,West,Hispanic/Latino
Others,44-107,Male,West,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Vehicle,0-24,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,34-43,Male,Southeast,European-American/White
Vehicle,0-24,Female,Southeast,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Vehicle,25-33,Female,Southwest,Native American/Alaskan
Vehicle,0-24,Male,Midwest,European-American/White
Gunshot,0-24,Male,Midwest,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,25-33,Female,Northeast,Hispanic/Latino
Gunshot,44-107,Male,West,European-American/White
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,25-33,Male,Northeast,Hispanic/Latino
Gunshot,34-43,Male,Southeast,African-American/Black
Vehicle,25-33,Male,Northeast,European-American/White
Vehicle,34-43,Male,Midwest,African-American/Black
Vehicle,25-33,Male,Northeast,European-American/White
Vehicle,34-43,Female,Northeast,Hispanic/Latino
Vehicle,44-107,Male,Northeast,Hispanic/Latino
Gunshot,25-33,Male,Midwest,African-American/Black
Others,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Northeast,European-American/White
Gunshot,0-24,Female,Northeast,African-American/Black
Gunshot,0-24,Male,West,European-American/White
Gunshot,25-33,Male,West,African-American/Black
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Vehicle,44-107,Male,Southwest,Hispanic/Latino
Vehicle,44-107,Female,Southeast,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Vehicle,44-107,Male,Midwest,European-American/White
Gunshot,0-24,Male,Northeast,African-American/Black
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,34-43,Male,West,African-American/Black
Vehicle,34-43,Female,Southeast,European-American/White
Vehicle,25-33,Male,Southeast,European-American/White
Vehicle,25-33,Female,West,Hispanic/Latino
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Others,0-24,Female,Southwest,Hispanic/Latino
Others,44-107,Male,Midwest,African-American/Black
Gunshot,0-24,Male,West,Native American/Alaskan
Gunshot,34-43,Female,West,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,25-33,Male,West,Asian/Pacific Islander
Gunshot,25-33,Male,Southwest,African-American/Black
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,0-24,Male,West,African-American/Black
Gunshot,25-33,Male,West,European-American/White
Others,44-107,Female,Northeast,European-American/White
Vehicle,0-24,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Southeast,African-American/Black
Others,44-107,Male,Midwest,Hispanic/Latino
Gunshot,34-43,Male,West,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,25-33,Male,Northeast,Hispanic/Latino
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,34-43,Male,Southeast,African-American/Black
Others,25-33,Male,Midwest,African-American/Black
Gunshot,44-107,Male,Northeast,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,25-33,Female,West,Hispanic/Latino
Gunshot,44-107,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,Southeast,African-American/Black
Vehicle,25-33,Male,Southeast,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Vehicle,0-24,Female,Southeast,European-American/White
Vehicle,0-24,Male,Midwest,African-American/Black
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,25-33,Male,Southeast,African-American/Black
Vehicle,0-24,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Female,Midwest,African-American/Black
Gunshot,34-43,Male,Southwest,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,34-43,Male,Southeast,Hispanic/Latino
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Northeast,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Vehicle,44-107,Male,Midwest,European-American/White
Gunshot,0-24,Male,West,European-American/White
Gunshot,34-43,Male,Southwest,African-American/Black
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Vehicle,0-24,Male,Northeast,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Vehicle,0-24,Male,West,Hispanic/Latino
Others,25-33,Male,Midwest,European-American/White
Gunshot,0-24,Male,Southwest,African-American/Black
Gunshot,34-43,Male,Northeast,European-American/White
Vehicle,44-107,Male,Southeast,African-American/Black
Gunshot,0-24,Male,Midwest,African-American/Black
Vehicle,0-24,Male,Midwest,African-American/Black
Gunshot,34-43,Male,Northeast,African-American/Black
Gunshot,34-43,Female,Southwest,European-American/White
Gunshot,34-43,Male,West,Hispanic/Latino
Vehicle,25-33,Male,Southeast,African-American/Black
Others,25-33,Male,West,European-American/White
Gunshot,44-107,Male,Northeast,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Others,34-43,Male,West,European-American/White
Gunshot,0-24,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,European-American/White
Others,0-24,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Vehicle,44-107,Female,West,European-American/White
Gunshot,34-43,Male,Southwest,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,34-43,Male,West,Hispanic/Latino
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Northeast,African-American/Black
Gunshot,0-24,Male,Southwest,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,Hispanic/Latino
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,34-43,Male,West,Asian/Pacific Islander
Gunshot,25-33,Male,Northeast,African-American/Black
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,0-24,Male,West,European-American/White
Vehicle,25-33,Female,West,European-American/White
Vehicle,0-24,Female,West,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,0-24,Male,Northeast,African-American/Black
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Others,34-43,Male,Midwest,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,0-24,Male,West,European-American/White
Vehicle,34-43,Male,Southwest,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Gunshot,0-24,Male,Southeast,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Vehicle,44-107,Male,Southeast,African-American/Black
Vehicle,34-43,Male,Southeast,European-American/White
Vehicle,25-33,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,African-American/Black
Gunshot,25-33,Male,West,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Gunshot,0-24,Male,Northeast,African-American/Black
Gunshot,25-33,Male,West,Asian/Pacific Islander
Gunshot,25-33,Female,West,Asian/Pacific Islander
Gunshot,34-43,Male,West,European-American/White
Vehicle,34-43,Male,Northeast,African-American/Black
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,0-24,Male,Midwest,European-American/White
Vehicle,44-107,Female,Midwest,African-American/Black
Gunshot,25-33,Female,Northeast,African-American/Black
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Midwest,African-American/Black
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Vehicle,44-107,Male,Northeast,African-American/Black
Gunshot,44-107,Male,Southeast,African-American/Black
Gunshot,25-33,Male,Northeast,European-American/White
Gunshot,34-43,Male,Southeast,African-American/Black
Gunshot,25-33,Female,Southeast,European-American/White
Gunshot,25-33,Male,West,European-American/White
Others,0-24,Male,West,Hispanic/Latino
Gunshot,34-43,Male,West,European-American/White
Gunshot,34-43,Male,West,Hispanic/Latino
Gunshot,34-43,Male,West,European-American/White
